BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.5154985867,61.1233206832,68.7067702013,74.0605953566,84.3165344743,97.5156592156,107.118040836,120.0090505523,128.9153017478,..,..,..,..
BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.6354786371,5.186132424,75.9548591597,16.8801162413,11.5201168479,12.1714657549,20.180539765,15.1031189462,15.0144518163,11.440616775,12.3366860125,..,..,6.5702205877,6.6444018318,8.9092608164,10.6566343685,19.1851840087,18.9052457269,39.4168108448,24.4293134231,23.8372955552,24.5487262642,37.5981780557,..,..
BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124.9078690126,126.3543534968,123.0757106444,124.7979248253,114.0172139189,108.6926581333,108.0650385872,107.3348888158,101.4210083139,97.2410570632,95.874834348,88.5424959645,82.8037668439,90.3067773474,94.9078783787,92.404303338,94.4946418439,103.4812614788,101.5806057623,112.0834051809,109.55424664,..,..
BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.0634305774,28.6434802064,32.9601722448,35.326531314,37.1674972976,36.3108902436,38.8322873138,..,..,..,..,..,67.2689137875,87.9989232351,103.9908947006,92.2030343041,87.6590062848,84.7394266765,78.7958631332,82.0043797212,80.167899035,76.889388754,74.4829076293,77.1020319471,76.4716418206,..,..,..
BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.1880192526,47.465351296,45.4804885551,39.3324210004,32.9392012292,27.0898814877,36.2998468502,30.7408747223,29.9692662592,34.3907413132,39.1259100037,69.9474057236,56.3689651964,68.7892850164,75.2359487499,79.533917154,74.8832369379,62.7952543121,60.4102550051,56.7763136832,54.8829606742,62.5299587993,72.5156742224,96.1392467527,90.6514490681,..,..,..
BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.1717239568,57.4113792142,47.8828063679,46.5365055204,47.0751922918,56.2575827503,60.1091978562,68.3398522563,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.8725272457,49.1458416935,46.0035935981,50.0716048097,..,..,..
BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3711032493,12.1168020575,12.5321505733,12.4450599461,12.0423976352,10.9720760702,11.1567555492,..,..,..,..,..,..,..,..,..,5.8936096142,5.7411872493,7.8473089726,18.9731164738,21.6306885365,20.3054389533,19.5844495876,18.2124296732,17.4453597127,..,..,..
BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.9523542717,62.4516820616,60.6559322246,63.8078342318,61.3187804611,59.3416583015,59.8494899958,57.2284093803,58.4572812214,67.4836979627,..,..
VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
