ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0940781184,-0.0211505922,-5.008097166,-12.7826404085,-1.1271385441,-25.2794432861,11.056872264,16.0790394703,-17.5288381838,-8.1904188075,12.156836199,4.5029274895,12.8250637167,9.8435633572,0.0040019129,6.8699713174,-18.6453378732,-10.0817303224,,,,,
AFG,,,,,,,,,,,,,,,,,,,,-2.6933911574,1.4718306489,-5.915853607,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8921142471,-6.8082206427,-10.4974039985,-15.4753945193,-28.0257014367,-25.1912752233,-19.5505272893,-25.6647851381,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,2.9172,-4.53288,6.68712,-7.01624,-1.31648,-2.34872,-4.782726375,-12.9264301755,-12.6653434278,-8.3707938407,-5.8546269937,43.3986736531,-11.5519926948,-28.9700214645,-27.798332855,8.7150636563,-16.0129789169,-1.2010020145,-5.0712626484,3.4684736461,18.1976868655,25.5801682099,17.5044491815,8.5464660089,-10.029689439,9.1013351872,12.5673728091,11.9942638616,6.5206433198,-2.9559946318,-9.9772901009,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,-1.4603149388,-1.852054822,-0.14721104,0.241117498,-1.2746942615,-1.6829934248,-5.6289776773,-14.7476228008,-7.1463549717,1.2132848623,-7.9217442538,-0.4743247969,-3.2369017254,-11.5357490328,-2.4036581064,-4.5508310495,-4.3033620727,-5.3536792133,-9.1885630981,-7.0787981033,-4.8931240526,-7.0046202271,-7.4605908775,-10.7542446956,-15.6713527888,-15.356912626,-11.3485988524,-12.9459229406,-10.2109825468,-10.9163000655,-12.8803201506,-10.7286581793,-9.5788012974
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,,,,,,,,,,,,,1.2722422564,1.9830577094,3.1954343768,-0.7407693109,-6.2030673973,-5.9890558114,-2.7909739553,-2.342778348,-3.1545541104,-1.0767200482,-2.5771977835,-3.8116687722,-1.2455745537,-1.7028351009,3.2203209903,-0.341028913,-2.4248385372,-3.4661782946,-4.2648589847,-1.9834602735,-2.487593011,-4.1446800663,-4.8443160454,-4.2122950618,-3.159922377,-1.406947885,8.9707846778,6.3799068018,1.9505832432,2.6536314218,3.3398398195,2.5577633623,1.8685409551,2.4646215242,-0.3579788159,-0.8433671684,-0.2637058251,-2.1996745649,-1.5258259395,-2.8741663326,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.6379968354,-7.891063058,-15.0292446654,-20.1762883624,-20.4782138663,-21.9751034623,-16.9355703343,-15.7812103252,-10.4398165717,-6.2201045971,-6.1811985054,-2.2043591763,-2.5283241436,-2.3953730702,-7.3566009937,-14.2246479361,-16.4837117891,-13.621946305,-10.4403026923,-9.9615695569,-7.309591771,-7.6068188519,-2.6506718501,-2.7064870302
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,-12.3876177349,-2.5034327373,-17.8767937487,-14.3040794806,-22.1182460624,-25.3088629917,-4.9960440359,0.28794538,-9.5880888173,-40.7261826367,-33.0051854621,-11.2977353708,-18.6073655119,-6.7436933046,-6.4193098746,-1.976916294,2.8132140088,-1.0763701932,-0.0898208587,-9.3794962657,-6.960458869,-6.4257319116,-7.8864507723,-8.0897629264,-7.1478006563,-10.1767121822,-11.4746125419,-10.4082630933,-16.896188433,-25.3922467567,-29.6005708996,-26.4148344313,-13.8804376644,-14.5570929496,-10.3070732502,-13.7183366879,-17.0919385976,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.1145587286,-4.9875023667,-3.2466060553,-3.1665769201,-2.9738569725,-4.9078652047,-5.0677678779,-3.5848795541,-2.7311505757,-4.4475904936,-5.6009006778,-3.7278650095,-2.1079285844,-4.05493711,-6.2777184923,-6.7316071195,-6.2475045311,-6.0620990458,-7.5153041122,-4.9388749188,-5.2739515705,-3.9124293329,-3.195205587,-4.1921168721,-3.0546952622,-2.899242337,-4.3103233059,-2.7305846252
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9847665354,3.2886768535,3.8169174346,4.5148629823,2.5899792831,2.9415950407,1.5836526109,1.5077362618,1.9562696427,2.3155264918,1.9208496154,1.7127243902
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.1254467759,-29.3124142368,-23.1093106058,-30.6882457886,-13.0904580062,-3.1819681529,-0.9067542987,-12.3219731758,-27.7741943441,-29.8280202935,1.2631631144,17.6695490613,27.288324319,33.6785440639,22.9725301709,28.4303731949,25.9962274289,21.491186956,16.4927257167,13.5675673449,-0.4192136392,-3.6023415773
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5902681258,-3.0094247281,-8.4165223822,-6.4725856124,-1.0314432989,-6.134100344,-2.8503873867,-5.5038209642,-2.995420085,-1.8252567673,1.0441659606,-4.6040035606,0.6300451843,-5.4416037928,-2.6118461211,-5.7625888745,-4.1872020117,-0.3979900771,-3.0463014604,-3.5365581543,-0.5100132564,-10.4886467341,-8.2080091301,-16.0927464208,-9.2644155534,-14.8496364075,-12.038418883,-10.5629688881,-9.5203072666,-12.7103331152,-12.0973949578,
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4855628448,3.382434717,3.0806100892,1.9884623731,1.8411125024,1.492367962,-0.826323176,-1.0816628228,1.6497460714,-1.0410998115,-0.0471428255,-0.3028562213,-0.6783786061,0.4252618469,-0.41008675
BEN,,,,,,,,,,,,,,,-5.2775865141,-7.8862829472,-9.2806426257,-7.5545938322,-9.7252402564,-4.3711374669,-2.5420576892,-7.231392947,-29.7501244087,-12.3059404857,-5.4295670152,-3.7249894594,-3.9550462574,-2.1946754556,-6.5109236871,-0.893468996,-0.9255859732,-10.8930806819,-4.2890468737,-2.5829968957,0.6602805125,-7.6956430686,-1.7345747753,-6.7872506758,-5.3974001282,-5.7839740973,-3.1365078756,-2.7955550196,-5.1134894052,-8.4808122041,-6.3805700961,-4.706468163,-4.2199411623,-8.9463827088,-7.5148875683,-9.1435308546,-7.6085970847,-6.6055430334,-7.077155265,-7.3516869621,-9.115847103,-8.982294276,
BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6117648448,-9.2982603686,-8.2701523505,-11.5074638194,-4.5409321531,-2.0205859802,-1.4936779256,-1.4535369696,-11.2711012656,-8.0449207797,,
BGD,,,,,,,,,,,,,,,,,-2.7311510538,-2.9111374278,-2.8904785561,-2.6722406445,-3.8710788967,-5.0204218555,-2.7026150354,-0.2600953258,-2.5244669102,-2.0431132547,-2.8712245436,-0.9758650693,-1.0265116739,-3.8203636216,-1.2592736234,0.2086514357,0.5701588793,1.0832117352,0.5909882377,-2.17154894,-2.1349082149,-0.5934647287,-0.0703537047,-0.7106519686,-0.5730426633,-0.9916872319,1.3508683049,0.218816448,-0.4280227533,0.7311149409,1.6653833795,1.0762119254,1.0107743299,3.4701434749,1.8290418202,-0.1258124472,1.931300818,1.3724029806,0.4371627225,1.3773612866,
BGR,,,,,,,,,,,,,,,,,,,,,4.8086541817,0.6139909411,0.915107021,0.2173431809,3.0406461452,-0.7927523293,-4.6964600073,-2.5621863991,-1.7822355399,-3.4972915066,-8.2880596423,-0.702697126,-3.4771215139,-10.1461625962,-0.3279223744,-0.1974980122,0.1553009431,3.8130947479,-0.4231601912,-4.8323740062,-5.3519957217,-5.6924360401,-1.9500750066,-4.8501354665,-6.4040946195,-11.2233811087,-17.0917531442,-25.5485736304,-21.7231830811,-8.2194758344,-1.9059857865,0.4745692017,-0.9806870173,1.2171005736,0.1768842778,-0.1377115841,4.2712720564
BHR,,,,,,,,,,,,,,,,,,,,,5.9996133088,12.3859191985,11.6727458729,2.7485047068,5.5907388554,1.0632874518,-2.2566872876,-5.9353932833,5.1864090223,-4.9975906932,1.6473843058,-13.0552514836,-17.3981191223,-6.5258529983,-4.5906183412,4.0581859849,4.267952568,-0.4892536891,-12.5718179532,-0.5570041541,9.160250947,2.517016573,-0.515262007,1.8099024641,3.5861037591,9.2318072071,11.8208218918,13.3758607442,8.7779455263,2.4412338688,2.99484203,11.1372591944,7.2264209366,7.7817929005,3.365520186,,
BHS,,,,,,,,,,,,,,,,,10.6058246485,4.0532959367,0.288322922,-3.7638178873,-5.6391822119,-9.8072204795,-7.3116644564,-5.8056325081,-4.9140169497,-0.1163442115,0.9302325581,-2.019159986,-2.3599134107,-2.749836708,-1.156032849,-5.7791948984,1.1514956578,1.5737386805,-1.2948757288,-4.2548848061,-7.2956497645,-9.515998306,-18.5933601867,-5.3886915089,-10.0029679724,-9.8971081925,-6.0839027309,-6.8137631367,-4.3290403308,-9.091841269,-17.6221767935,-15.8083747004,-14.8184551853,-10.3450127877,-10.2913147914,-15.248973384,-17.9164471961,-17.5302276461,-21.876110592,-13.5889467229,-12.2282843705
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.3831915002,-10.6990205633,-7.1865460347,-12.92114007,-17.9013057749,-19.4867686287,-16.3559155726,-16.4309618026,-7.7573709942,-9.1917741901,-13.8410135533,-6.4500841053,-6.0046716584,-9.4871070338,-8.6469331459,-5.2981049719,-7.3690120576,-5.5198680205,-4.4746676298
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6709596882,-2.9721021514,-3.2799836083,-3.4960008174,-6.0813626799,-6.6778282078,-1.5957509916,-3.6044999657,-4.2801108704,-2.2315975672,-2.5587031875,-5.1504676971,1.5180357692,-3.7549555971,-6.6536725341,-8.162176582,-12.46244132,-14.4676296659,-8.1805512696,-2.8350070431,-10.0192595047,-6.6330385767,-3.2649142106,-3.5907155746
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,-2.5130393551,4.327038011,5.2446785166,3.3990236847,-0.8256589393,-5.2457662123,3.7162571117,-5.8013933463,-5.5186881885,-8.6629070841,-6.8961100513,-2.781063772,-1.0360411348,-4.8799174281,-8.6862345153,-9.9343361713,-19.4179712468,-21.8343689076,-17.728121682,-18.6077657289,-14.6452152976,-13.5718991281,-2.0849821053,-4.0361901893,-10.5856044231,-6.1960641216,-3.2736541931,-1.34181093,-2.1042657158,-4.4981083444,-7.9614173107,-10.0276009001,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1311569605,20.6286106048,14.8405201745,10.012458315,12.1154058592,15.6302029857,16.7400782109,15.0824077368,,,
BOL,,,,,,,,,,,,,,,,,-1.9582121495,-3.6530543039,-8.8206630143,-8.9791709345,-0.1410472099,-7.9374772028,-3.1037062068,-2.5971404641,-2.8820736163,-5.3056589501,-9.8162603816,-9.9411302765,-6.6207362458,-5.7273369442,-4.0862172359,-4.9145895323,-9.459781877,-8.8147953007,-1.5080472662,-4.5046919857,-5.1330500404,-6.9836336761,-7.8387340475,-5.8901090047,-5.3150101705,-3.3655991304,-4.4517556015,0.9353065427,3.8468263276,6.5183170819,11.5044303913,12.1282526301,11.9507032799,4.6916976216,4.4466262822,2.2418068923,7.2736778939,3.4377206226,1.4497572866,-5.6172806122,
BRA,,,,,,,,,,,,,,,,-5.6325560708,-4.2704247675,-2.8659608288,-3.4840482703,-4.6744116522,-5.459428526,-4.4634813301,-5.7926961541,-3.3614600165,0.0157876673,-0.1255927583,-1.9807022338,-0.4937362948,1.2578792165,0.2354349253,-0.8275755499,-0.2405201871,1.5199728906,0.0045683109,-0.2065893593,-2.3084262779,-2.733689315,-3.4523346032,-3.9166474119,-4.2376495227,-3.6960249968,-4.1501019273,-1.5033837568,0.7481887837,1.7536698409,1.5684371255,1.2297743172,0.1110015338,-1.6624375567,-1.4580279808,-3.4297900279,-2.9420668136,-3.0041765225,-3.0244177392,-4.241922251,-3.2952174535,-1.3099771092
BRB,,,,,,,,,,,,,,,,,,,,,-1.6596460413,-10.3580934553,-2.8134293692,-2.884828866,1.7000318496,4.2277277583,0.8528288581,-0.956325336,2.6504621343,1.4055062609,-0.3876156753,-1.1678863016,7.9773559344,3.967154406,6.5139018335,0.4498062651,1.4129292179,-3.7113608417,-3.9811266879,-6.7220647542,-6.8254223803,-5.6058377023,-7.2285426607,-7.3565963775,-11.7542730877,-11.9518796322,-8.2358506665,-6.0658507248,-10.3509891524,-5.6423856062,-4.9116841621,-5.8326817168,-9.4864850305,-5.6771887523,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8381594349,30.0462831994,37.8825205941,36.6115330752,42.3088889783,45.5892584015,39.4227440215,48.2099198432,37.0597078902,36.5949373129,34.7096739407,29.838237235,20.881355363,30.6637593807,16.016086613,
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2219973178,7.1012834044,-8.9394011538,-5.2136976738,-20.3786001424,-28.9095956052,-20.6743662683,-26.2571891376,-24.681149964,-27.7799916903,-27.7026063363
BWA,,,,,,,,,,,,,,,,-10.0132214497,-5.471626722,-5.970042722,-19.5735697108,-7.3929356441,-14.2376112905,-28.2791718719,-14.2486640869,-6.7346860503,-4.7361389847,7.3506085206,7.802942435,31.979825325,7.3328595889,15.9507361883,-0.5090595233,7.6832559944,4.7679449629,10.2626921846,5.2034169608,6.3343398935,10.2099836167,14.3705379396,3.5425676453,10.6386901804,9.4180448797,10.8424755024,4.8420866439,9.5424542683,3.5367842594,16.0858602675,19.2612568622,15.1230363735,1.3661831239,-6.3131815264,-2.756430474,3.0806144081,-1.2016211978,9.307568598,15.2608456393,7.7637066887,
CAF,,,,,,,,,,,,,,,,,,-3.7245399187,-3.7646803476,-2.2768154014,-5.4014266804,-0.6016621932,-5.6985166602,-4.4497946623,-5.2438462765,-5.6213007055,-7.7092002525,-6.1139020781,-2.7360566118,-2.7088701068,-6.1866647367,-4.4846833251,-5.8824316239,-1.0126953561,-2.8990046272,,,,,,,,,,,,,,,,,,,,,,
CAN,-2.88894569,-2.7126224166,-2.5739980227,-1.8843998086,-0.9282147687,-3.075154855,-2.6154447804,-1.974554403,-1.3860235769,-2.4980992865,0.5616664847,-1.0462403025,-2.1271078253,-1.5658597966,-2.8490621758,-4.7150701916,-3.6977376483,-3.30916654,-3.7451392763,-3.4494721257,-2.2230994072,-4.0926093746,0.5730248085,-0.7407654303,-0.386538331,-1.6007992683,-3.0074255912,-3.1790194242,-3.0126841452,-3.9315926737,-3.4110718051,-3.7479695533,-3.66635755,-3.8728968141,-2.4055389792,-0.8379027048,0.386351742,-1.3763813814,-1.4244389272,0.1250699107,2.4922576345,2.1400658037,1.6516521812,1.1690542861,2.2713611495,1.8755079028,1.3676469888,0.7543107698,0.2052464917,-2.9710062473,-3.6046828331,-2.7802347743,-3.6012752253,-3.226102299,-2.4304546031,-3.4185449688,-3.3465914102
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,,,,,,,,,,,,,,,,,,,,,-0.1694115514,3.1518903153,2.2741631027,1.0914735799,5.792991902,5.6176521179,3.0205084468,3.2581283194,4.237001995,3.6120456295,2.3788474245,3.6606152773,4.9313726855,6.3997201552,5.7308695023,6.057638963,6.0421025428,8.8333268427,8.5410842237,9.7567501934,11.7427177025,8.0014229603,8.5399197322,12.7393012844,14.6973184592,13.6009011278,14.4357437237,10.1710916952,2.506074803,7.6837873524,14.9015178954,8.0008466608,10.4818523378,11.4991014447,8.7440317371,11.5353190836,10.7045853654
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,-6.4285755358,1.4310681661,-3.9461734998,-6.8042808673,-5.4532036508,-6.7879591342,-13.7149137242,-9.0974086532,-5.4873365926,-10.7580432856,-7.981636714,-6.30690234,-3.3021187947,-0.8886250307,-2.3116752944,-1.4634645218,-0.2582279177,-2.0818318266,-5.1771101166,-2.7837990468,-1.8375139032,-3.9501143072,-4.3085227634,-4.8033266649,0.1321445077,-1.1527301538,-1.5499141972,-0.8318072952,-0.3375332799,2.7927864061,1.4323479356,4.4786839714,4.2251746961,-3.7062661775,1.8054789303,1.3585402201,-1.6881115889,-4.0078281914,-4.1397771497,-1.7245489993,-1.92554662,-1.4469530764
CHN,,,,,,,,,,,,,,,,,,,,,,,2.766568653,1.8379976415,0.7809301367,-3.6890151557,-2.3387463619,0.1099009413,-1.2172090327,-1.241347637,3.3245717404,3.4619042426,1.4993609002,-2.6103425457,1.2241167741,0.2203246072,0.8385563542,3.8438923339,3.0583755621,1.9300774311,1.6938492637,1.2991682273,2.4087589554,2.5930196864,3.5257651895,5.7909217461,8.4241247713,9.9426945524,9.1463620642,4.7604453233,3.8981345455,1.7972371686,2.5160979873,1.5426302753,2.2518433143,2.7489711738,1.7535287407
CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2322202312,2.6906797467,-0.6834591791,1.8640474071,6.6629145706,1.866754032,10.4907534175,-1.1854510419,-2.0232248552,,,
CMR,,,,,,,,,,,,,,,,,,-2.7447763691,-4.2259069782,-2.1626237742,-6.6075888107,-6.3076245129,-5.2675882666,-5.5793412601,-2.165103933,-6.8913142093,-4.2540177358,-7.256563383,-3.4135038149,-2.6023067596,-4.9427207708,-2.699681127,-3.2096693695,-3.7854322689,-0.608097038,1.0288635573,-2.9454769389,-5.9162938379,-1.5657973886,-4.8573647492,-2.3457450996,-3.6058310562,-4.0188909106,-4.3793608749,-2.6334487805,-2.9863077438,1.0769555723,1.3982962995,-1.9283733963,-4.7845145818,-3.6249558558,-2.8141862822,-3.6113113384,-3.8142103159,-4.3684063735,-4.1287350874,
COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.24794599,0.3343474016,3.2204782175,-0.7862101747,-6.1496682323,-10.5904096755,-5.3695984708,-4.5896347943,-10.3575629728,-5.0623270437,-4.2710302657,
COG,,,,,,,,,,,,,,,,,,,-20.5516893596,-8.2882352941,-9.7699778024,-23.110197159,-15.3447405499,-19.1156156156,9.5822639541,-7.4630201895,-32.4832377794,-9.69133909,-20.1330804249,-3.5550307979,-8.9763779528,-16.9376870041,-10.7934054611,-28.8011783439,-44.8409951549,-29.5463927286,-25.6169885357,-6.709670281,-12.3421441614,-9.798523425,20.1289422028,-1.0172337938,-1.1407667764,14.88827605,14.5085102095,11.4274136544,1.6054024343,-25.9811904525,,,,,,,,,
COL,,,,,,,,,-2.7709932515,-2.7320579273,-4.0703713244,-5.8051696165,-2.205286575,-0.5306737457,-2.8448720969,-1.3106530901,1.061573006,1.9281464707,1.1096003065,1.5677793576,-0.61625981,-5.3897993473,-7.8366708251,-7.7537147973,-3.6624462867,-5.1842112531,1.0960867513,0.9237543323,-0.550844053,-0.5083449477,1.3457745608,5.6955032766,1.8277345345,-3.767570557,-4.4881460522,-4.8816442587,-4.7768988698,-5.3914686291,-4.9344163443,0.7785268828,0.8332203911,-1.0568399859,-1.3301383038,-0.9990823324,-0.6680619929,-1.2902331122,-1.7893114293,-2.9008719987,-2.6479930433,-1.9882671441,-3.0183551359,-2.8986649325,-3.0336626493,-3.2476407693,-5.1388853282,-6.4422340212,-4.4399103147
COM,,,,,,,,,,,,,,,,,,,,,-7.2123871548,-7.1366448978,-10.2330212433,-9.911520905,-30.4398762073,-12.4523694133,-9.6534573964,-10.8765979134,-3.140980068,2.7209490073,-4.1895587172,-4.1525201967,-5.3308362419,3.6324903413,-3.8848881705,-8.1774410542,,,,,,,,-5.7937285978,-5.6223841809,-7.0562741028,-5.5448942741,-6.8281749001,-13.1350391052,-7.4838567144,-7.4076892873,-9.4539892293,-7.2067689919,,,,
CPV,,,,,,,,,,,,,,,,,,,,,3.0377497962,-15.4976474587,-10.5515654737,-9.63957653,-4.8592195305,-6.4887726042,0.9064299154,-1.0932777989,-0.1853735307,-4.7988210223,-1.2494885636,-2.177174419,-3.4009479152,-4.8794955337,-11.2472873016,-12.6500359682,-6.9806481261,-6.0581302356,-11.2111308195,-12.5223152444,-10.7618358721,-9.8982467794,-11.5170833798,-11.1238577761,-14.0656332307,-4.184583186,-7.4673690388,-13.0959815859,-11.4835423913,-14.4174429436,-13.3886055648,-16.3235136043,-13.9784908396,-5.8034534052,-9.0774320113,-5.0064411862,-3.8188160382
CRI,,,,,,,,,,,,,,,,,,-7.3427293491,-10.3087843953,-13.8321726472,-13.7412249341,-15.5919441428,-10.2316360494,-7.0389347479,-3.2892227404,-2.627053586,-1.4604148686,-4.3900729822,-2.9437183946,-6.0424658839,-5.7270540198,-1.0489608871,-4.3430375483,-6.5028903579,-2.2391308574,-3.110634033,-2.2694396354,-3.8310489634,-3.8241499312,-4.6947487333,-4.5791131846,-3.2316554041,-5.211063322,-5.2320232535,-3.6430045332,-4.3105468709,-4.1535321477,-5.6043073508,-8.4295986749,-1.8342200571,-3.2570933845,-5.3594723887,-5.188137898,-4.8872535062,-4.913146,-4.3465506985,-3.2724896928
CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
